,Unnamed: 0,product_title,product_price,currency,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,delivery,has_variations,Sales_per_last_month
230,230,"SAMSUNG Galaxy A05s (SM-A057M/DS), 128GB 4GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Case Bundle) (Light Violet)",125.0,USD,5.0,1,1,125.0,False,False,True,False,"FREE delivery Tue, Sep 24",True,0.0
231,231,"SAMSUNG Galaxy S20+ Plus 5G Factory Unlocked Android Cell Phone SM-G986U US Version | 128GB | Fingerprint ID &amp; Facial Recognition | Long-Lasting Battery (Cosmic Black, 128GB)",249.7,USD,3.7,305,8,213.91,False,False,True,False,"FREE delivery Tue, Sep 24 Only 1 left in stock - order soon.",True,200.0
232,232,"CMF Phone 1 8+256GB - Unlocked Smartphone with 50 MP Rear Camera with Ultra XDR, 6,67&quot; Super AMOLED Display and Nothing OS 2.6 - Light Green",289.0,USD,4.2,9,1,289.0,False,False,True,False,"FREE delivery Tue, Sep 24",True,100.0
233,233,"Samsung Galaxy Note 10+, 256GB, Aura Black - Fully Unlocked (Renewed)",264.95,USD,4.2,2949,14,217.95,False,False,False,True,"FREE delivery Sat, Sep 21 Only 2 left in stock - order soon.",False,200.0
234,234,Samsung Galaxy A42 5G 128GB Prism Dot Black for Verizon (Renewed),124.0,USD,4.1,341,6,80.0,False,False,False,True,"FREE delivery Sep 24 - 26 Or fastest delivery Sat, Sep 21 Only 2 left in stock - order soon.",False,50.0
235,235,"SAMSUNG Galaxy Z Flip 6 AI Cell Phone, 512GB Unlocked Android Smartphone, FlexCam, Photo Assist, Camcorder Mode, Live Interpreter, Foldable Design, 2024, US 1 Yr Manufacturer Warranty, Silver Shadow",944.96,USD,4.2,93,8,899.99,False,False,False,True,"FREE delivery Sep 23 - 24 Or fastest delivery Tomorrow, Sep 20",True,300.0
236,236,"Google Pixel 4a with 5G, 6.2&quot;, 128GB, 6GB RAM, Unlocked Cellular - Just Black (Renewed)",135.0,USD,3.8,866,10,128.95,False,False,False,True,"FREE delivery Sat, Sep 21 Only 4 left in stock - order soon.",False,100.0
237,237,Motorola Moto G Stylus 5G/ 128GB Stainless Steel Blue W/ 50MP Camera- Verizon (Renewed),113.87,USD,3.6,21,11,95.09,False,False,False,False,"FREE delivery Sep 25 - 27 Or fastest delivery Tomorrow, Sep 20 Only 7 left in stock - order soon.",False,0.0
238,238,Google - Pixel 3a X-Large with 64GB Memory Cell Phone (Unlocked) - Just Black (G020C),139.99,USD,4.3,4559,20,109.9,False,False,True,False,"FREE delivery Tue, Sep 24",True,0.0
239,239,"Apple iPhone SE 3rd Gen, 64GB, Midnight - T-Mobile (Renewed)",197.0,USD,4.3,1827,15,177.95,False,False,False,False,"FREE delivery Tomorrow, Sep 20",True,50.0
240,240,"Big Button Phone for Seniors, Corded Landline Telephone with Handsfree Function and 9 Groups of Memory, One-Touch Dialling,Suitable People with Vision Disorders/Hearing Damage (EX-LD-858HF)",29.99,USD,4.5,25,1,29.99,False,False,True,False,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon",False,300.0
